num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;prochaine_question;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
1;2023;La loi de programmation militaire 2024-2030 a conduit au renouvellement des programmes de la dissuasion Nucleaire. Les SNLE actuels, entrés en service dans les années 2000 doivent être remplacés par des versions plus modernes et discrètes. Un programme de sous-marin visant la construction de 4 SNLE est lancé.;Pas de choix à ce stade;SNLE.jpg;A;Lancement du programme de sous-marins lanceur d'engins de 3e génération (SNLE 3G), dans l'optique d'acheter 4 afin d'assurer une permanence à la mer d'au moins 1 d'entre eux.;2;;;;min_nb_utile:4;SNLE;SNLE 3G;launch_programme
2;2023;La loi de programmation militaire 2024-2030 a conduit au renouvellement des programmes de la dissuasion Nucleaire. Le porte-avion Charles-de-Gaulle est un des principaux contributeur à la dissuasion nucléaire française (en tant que porteur de rafales, eux-même porteurs de missiles Nucleaire). Sa La décision politique est donc prise en 2023 de lancer un successeur au Charles-de-Gaulle, dont la fin de service est prévue pour 2040. Le maintien de la dissuasion océanique, conduit à maintenir une propulsion nucléaire pour le porte-avion.;Pas de choix à ce stade;PANG.jpg;A;Lancement du programme de nouveau porte-avion nucléaire, dans l'optique d'acheter un unique successeur au Charles-de-Gaulle;3;;;;min_nb_utile:1;Porte-avion;PANG;launch_programme
3;2023;"La loi de programmation militaire 2024-2030 a conduit au renouvellement des programmes de la dissuasion Nucleaire. Cela conduit également au coûteux renouvellement des armes Nucleaire (missiles oncéaniques des sous-marins et missile nucléaire des rafales).
Ces 3 programmes (SNLE, PANG et Armes Nucleaire)  representeront 30% du budget équipement de la défense pour les 15 prochaines années.";Pas de choix à ce stade;M51.jpg;A;Lancement du programme de renouvellement des armes Nucleaire;4;;;;;;Armes Nucleaires;launch_programme
4;2024;Un an plus tard, le dérapage budgétaire français et la perspective d'une potentielle crise économique d'une part, les perspectives de conflits en Europe et Asie-Pacifique vous font réviser vos choix passés, et réévaluer le coût de la dissuasion au vu du bénéfice quelle apporte. ;Quelle direction souhaitez-vous emprunter pour la dissuasion française ?;OMG.jpg;A;Une augmentation de la crédibilité de la dissuasion, en produisant un second porte-avion (les modalités et coûts seront explicité en prochaine question, avec possibilité de revenir en arrière).;5;niveau_techno:70;;;;;;
4;2024;Un an plus tard, le dérapage budgétaire français et la perspective d'une potentielle crise économique d'une part, les perspectives de conflits en Europe et Asie-Pacifique vous font réviser vos choix passés, et réévaluer le coût de la dissuasion au vu du bénéfice quelle apporte. ;Quelle direction souhaitez-vous emprunter pour la dissuasion française ?;;B;Un maintien de la dissuasion au niveau actuel.;0;niveau_techno:70;;;;;;
4;2024;Un an plus tard, le dérapage budgétaire français et la perspective d'une potentielle crise économique d'une part, les perspectives de conflits en Europe et Asie-Pacifique vous font réviser vos choix passés, et réévaluer le coût de la dissuasion au vu du bénéfice quelle apporte. ;Quelle direction souhaitez-vous emprunter pour la dissuasion française ?;;C;Réduction des capacités de dissuasion sans les éteindre complètement, afin de réaliser des économies (les modalités et coûts seront explicité en prochaine question, avec possibilité de revenir en arrière).;7;niveau_techno:50;;;;;;
4;2024;Un an plus tard, le dérapage budgétaire français et la perspective d'une potentielle crise économique d'une part, les perspectives de conflits en Europe et Asie-Pacifique vous font réviser vos choix passés, et réévaluer le coût de la dissuasion au vu du bénéfice quelle apporte. ;Quelle direction souhaitez-vous emprunter pour la dissuasion française ?;;D;Suppression de la dissuasion militaire française au profit d'un accroissement des forces conventionnelles et/ou d'importantes économies (les modalités et coûts seront explicité en prochaine question, avec possibilité de revenir en arrière).;13;;;;;;;
5;2024;Vous souhaitez vous doter d'un second porte-avion pour perenniser une dissuasion plus crédibles. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un deux plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un sous-marin d'attaque, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) . Il faudra donc acheter un second porte-avion , ainsi que divers autres objets modélisés sous le nom de groupe-aeronaval. Ces objets sont considérés comme achetable à l'instant t, sans besoin de programme ou developpement associé.;Deux options s'offrent a vous;;A;"Lancer la production d'un second porte-avion ainsi qu'un groupe aeronaval associé en plus du porte-avion remplaçant le Charles-de-Gaulle. Coût supplémentaires à prévoir : 
5 milliard (porte-avion supplémentaire) + 4 milliard (petit groupe aeronaval complémentaire)";6;;;;min_nb_utile:2;Porte-avion;;
5;2024;Vous souhaitez vous doter d'un second porte-avion pour perenniser une dissuasion plus crédibles. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un deux plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un SNA, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) ;Deux options s'offrent a vous;;B;Revenir au choix précédent;4;;;;;;;
6;2024;Vous souhaitez vous doter d'un second porte-avion pour perenniser une dissuasion plus crédibles. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un deux plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un sous-marin d'attaque, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) . Il faudra donc acheter un second porte-avion , ainsi que divers autres objets modélisés sous le nom de groupe-aeronaval. Ces objets sont considérés comme achetable à l'instant t, sans besoin de programme ou developpement associé.;Continuation du choix précédent.;;A;Lancement de la construction d'un second groupe aeronaval.;0;;;;min_nb_utile:1;Groupe-aeronaval;;
