num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;texte_option;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;MALE.jpg;A;Achat sur etagere du drone Reaper americain. Solution la plus rapide pour combler le besoin, et deja  choisie par nombre de pays.;2;;;;;Reaper;Achat Reaper;
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;;B;Programme Franco-israelien DAROK : IAI (Israel) et Dassault (France) proposent de reprendre le design d'un drone israelien deja  existant, de l'adapter au besoin français. Solution permettant un transfert technologique vers la France, mais plus lente et plus couteuse;7;niveau_techno:5;europeanisation:-5;;;DAROK;Drone MALE franco-israelien;
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;;C;"Malgre les demonstrateurs de Dassaut et EADS, vous n'avez pas la competence technologique necessaire pour vous lancer d'emblee dans un programme. Vous proposez donc a  vos partenaires Europeens (France, Italie et Allemagne) une etude preliminaire de 2 ans, dans le but de savoir a  l'issue si ces industriels sont capables de realiser un drone MALE et quels seront les couts et temps neessaires pour un programme en cooperation associe
Le resultat attendu de l'etude que le programme soit moins couteux que le programme franco-israelien (car finance a  3) que le programme franco-israelien (B), mais plus long a  mettre en place, et avec une probabilite d'echec faible mais non nulle";10;niveau_techno:5;europeanisation:+10;;;;Etude_eurodrone;
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;;D;Rester sur le systeme interimaire israelien, ce dernier devenant obsolete.;0;;;;;;;
2;2011;Combien d'appareils achetez-vous sur etagere ?;Combien ?;REAPER.jpg;A;Plus de 20;3;;;;"cout_unitaire:-7
min_nb_utile:+20";Reaper;Achat Reaper;
2;2011;Combien d'appareils achetez-vous sur etagere ?;Combien ?;REAPER.jpg;B;De 10 a 20;3;;;;min_nb_utile:+10;Reaper;Achat Reaper;
2;2011;Combien d'appareils achetez-vous sur etagere ?;Combien ?;REAPER.jpg;C;Moins de 10;3;;;;cout_unitaire:+10;Reaper;Achat Reaper;
3;2011;Quand souhiatez-vous les recevoir ? Vous avez l'opportunite d'etaler plus la livraison pour baisser les couts d'importation de ces drones, ou de les augmenter en payant le prix adequat.;Quand ?;REAPER.jpg;A;"Augmentation de la cadence de livraison de +2 unites par an
Le cout unitaire augmente de 15M/unite";4;;;;"cout_unitaire:+15
unite_par_an:+2";Reaper;Achat Reaper;
3;2011;Quand souhiatez-vous les recevoir ? Vous avez l'opportunite d'etaler plus la livraison pour baisser les couts d'importation de ces drones, ou de les augmenter en payant le prix adequat.;Quand ?;REAPER.jpg;B;Maintien de la cadence de livraison annoncee, maintien du prix annonce;4;;;;;Reaper;Achat Reaper;
3;2011;Quand souhiatez-vous les recevoir ? Vous avez l'opportunite d'etaler plus la livraison pour baisser les couts d'importation de ces drones, ou de les augmenter en payant le prix adequat.;Quand ?;REAPER.jpg;C;"Consentement a  une baisse de la cadence de livraison de -2 unites par an
Cout unitaire reduie de 10M/unite";4;;;;"cout_unitaire:-10
unite_par_an:-2";Reaper;Achat Reaper;
4;2011;"Ces drones sont des drones armes. Quelles armes choisissez-vous pour ces drones : 
";Quelles munitions ?;;A;Armes US sur etageres. Cette solution vous permet de disposer de la pleine capacite de l'appareil des sa livraison, a  moindre couts.;5;;;;;Reaper;Achat Reaper;
4;2011;"Ces drones sont des drones armes. Quelles armes choisissez-vous pour ces drones : 
";Quelles munitions ?;;B;"Adaptation de munition françaises pour l'appareil
Cette solution est plus chere, plus longue (rajoute deux ans au delai du programme et coute 50M). En revanche elle incremente votre technologie et votre budget de defense a  chaque unite livree (on la considere livree avec ses munitions)";6;;;"duree:+2
niveau_techno:+1";"cout_unitaire:+4
budget:+1";Reaper;Achat Reaper;
5;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;A;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence.";30;;;;cout_unitaire:+5;Reaper;Achat Reaper;launch_programme
5;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;B;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;Reaper;Achat Reaper;launch_programme
6;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;A;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence";30;;;;"cout_unitaire:+7
budget:+1";Reaper;Achat Reaper;launch_programme
6;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;B;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;Reaper;Achat Reaper;launch_programme
7;2011;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;A;"Augmenter la part de Dassault a  40 (partage total : 60/40)
Cette solution augmente l'increment technologique et augmente le cout du programme pour la France de 5% (10M/an)";8;;;"cout:+10
niveau_techno:+1";;DAROK;Drone MALE franco-israelien;
