num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;prochaine_question;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
1;2002;"Depuis 2001; il y a un accord avec l'Italie (accord de Turin) pour le partage des données : la France se spécialise en imagerie optique; l'Italie se spécialise en imagerie radar.";La question se pose de faire le même accord avec les allemands;;A;Pas de deal: en plus des satellites d'obesrvation optique on développe des satellite d'observation radar. Ce projet supplémentaire coûterait dans les cent millions par an.;2;;"europeanisation:-5
bonus_rens:+50";;;;satellite_radar;launch_programme
1;2002;"Depuis 2001; il y a un accord avec l'Italie (accord de Turin) pour le partage des données : la France se spécialise en imagerie optique; l'Italie se spécialise en imagerie radar.";La question se pose de faire le même accord avec les allemands;;B;Accord de Schwerin : on fait le même accord avec les allemands;3;;"europeanisation:+10
bonus_rens:+40";;;;;
1;2002;"Depuis 2001; il y a un accord avec l'Italie (accord de Turin) pour le partage des données : la France se spécialise en imagerie optique; l'Italie se spécialise en imagerie radar.";La question se pose de faire le même accord avec les allemands;;C;On prolonge l'accord avec l'Italie;3;europeanisaton:-1;"europeanisation:+5
bonus_rens:+30";;;;;
2;2003;Les américains ont des flottes de satellites et sont prêt à vendre des images. Mais évidemment ça leur dit quelles sont les cibles qui intéressent les français...;"Faut-il continuer à acheter des données aux Etats-Unis; ou bien développer notre propre technologie ?";;A;Acheter les données aux américains.;0;;"europeanisation:-5
bonus_rens:+30";;;;donnees_US;launch_programme
2;2003;Les américains ont des flottes de satellites et sont prêt à vendre des images. Mais évidemment ça leur dit quelles sont les cibles qui intéressent les français...;"Faut-il continuer à acheter des données aux Etats-Unis; ou bien développer notre propre technologie ?";;B;"Se lancer dans un programme satellitaire; pour récupérer des données de manière indépendante.";4;;;;;;;
3;2003;Les américains ont des flottes de satellites et sont prêt à vendre des images. Mais évidemment ça leur dit quelles sont les cibles qui intéressent les français...;"Faut-il continuer à acheter des données aux Etats-Unis; ou bien développer notre propre technologie ? Pas possible d'acheter des données US si on a fait un deal.";;A;"Se lancer dans un programme satellitaire; pour récupérer des données de manière indépendante.";4;;;;;;;
4;2004;Puisqu'on a décidé de lancer un programme il faut décider s'il doit être uniquement français.;"Faut-il faire un programme franco-français; un programme multilatéral avec d'autres pays autant engagés que nous; ou bien un programme à 90% français; avec le soutien d'autre pays pour les 10% restants.";;A;Faire franco-français;6;;niveau_techno:+70;;;;;
4;2004;Puisqu'on a décidé de lancer un programme il faut décider s'il doit être uniquement français.;"Faut-il faire un programme franco-français; un programme multilatéral avec d'autres pays autant engagés que nous; ou bien un programme à 90% français; avec le soutien d'autre pays pour les 10% restant .";;B;Faire multilatéral;5;europeanisation:4;"niveau_techno:+30
europeanisation:+10";cout:-15;;;satellite;
4;2004;Puisqu'on a décidé de lancer un programme il faut décider s'il doit être uniquement français.;"Faut-il faire un programme franco-français; un programme multilatéral avec d'autres pays autant engagés que nous; ou bien un programme à 90% français; avec le soutien d'autre pays pour les 10% restant .";;C;"Faire 90% Français; 10% étranger";6;europeanisation:0;"europeanisation:+1
niveau_techno:+60";cout:-5;;;satellite;
5;2004;"Le programme multilatéral MUSIS (Multinational Space-based Imaging System for Surveillance; Reconnaissance and Observation) est un échec: vous perdez 10 d'européanisation.";"Faire un programme uniquement français (-2 d'européanisation supplémentaire); abandonner; ou essayer d'inclure en partenaires mineurs les autres pays (+3 d'européanisation) ?";;A;Faire franco-français;6;;"europeanisation:-12
niveau_techno:+40";;;;;
